SampleID	site	Rep_of_sample	Filter_vol	longitude	latitude	altitude	date	status	team	river	tributary	river_width	river_depth	water_velocity	TEMP	PH	DO	conductivity	PrevDayRain	DayRain	DistFromPAedge	Regional_Division
23GLG12-2	GLG12	2	7	98.65806	27.76667	1505	20230425	sample	1	nu	yes	15	180	0.745	12.9	8.56	11.8	36	5.1	1	7.4	North
23GLG12-3	GLG12	3	6	98.65806	27.76667	1505	20230425	sample	1	nu	yes	15	180	0.745	12.9	8.56	11.8	36	5.1	1	7.4	North
23GLG13-1	GLG13	1	7.8	98.41111	27.91111	2207	20230426	sample	1	dl	yes	13	100	0.75	9.1	8.77	11.2	17	1	24	-4	North
23GLG13-2	GLG13	2	7.3	98.41111	27.91111	2207	20230426	sample	1	dl	yes	13	100	0.75	9.1	8.77	11.2	17	1	24	-4	North
23GLG13-3	GLG13	3	7.1	98.41111	27.91111	2207	20230426	sample	1	dl	yes	13	100	0.75	9.1	8.77	11.2	17	1	24	-4	North
23GLG14-1	GLG14	1	8.2	98.33833	27.89306	1544	20230426	sample	1	dl	no	40	NA	0.5	11.3	8.51	11.8	93	1	24	NA	North
23GLG14-2	GLG14	2	7.3	98.33833	27.89306	1544	20230426	sample	1	dl	no	40	NA	0.5	11.3	8.51	11.8	93	1	24	NA	North
23GLG14-3	GLG14	3	8.6	98.33833	27.89306	1544	20230426	sample	1	dl	no	40	NA	0.5	11.3	8.51	11.8	93	1	24	NA	North
23GLG15-1	GLG15	1	6.6	98.33111	27.785	1440	20230426	sample	1	dl	yes	7	60	0.707	12.4	8.6	11.6	42	1	24	1.5	North
23GLG15-2	GLG15	2	7.4	98.33111	27.785	1440	20230426	sample	1	dl	yes	7	60	0.707	12.4	8.6	11.6	42	1	24	1.5	North
23GLG15-3	GLG15	3	6.9	98.33111	27.785	1440	20230426	sample	1	dl	yes	7	60	0.707	12.4	8.6	11.6	42	1	24	1.5	North
23GLG16-1	GLG16	1	7.1	98.32472	27.8375	1463	20230426	sample	1	dl	yes	25	150	0.721	11.4	8.69	12.3	29	1	24	1.4	North
23GLG16-2	GLG16	2	7.2	98.32472	27.8375	1463	20230426	sample	1	dl	yes	25	150	0.721	11.4	8.69	12.3	29	1	24	1.4	North
23GLG16-3	GLG16	3	7.1	98.32472	27.8375	1463	20230426	sample	1	dl	yes	25	150	0.721	11.4	8.69	12.3	29	1	24	1.4	North
23GLG17-1	GLG17	1	7	98.20417	28.21556	2345	20230427	sample	1	dl	yes	3.5	40	0.812	8.1	8.51	10.9	45	24	0	NA	North
23GLG17-2	GLG17	2	6.7	98.20417	28.21556	2345	20230427	sample	1	dl	yes	3.5	40	0.812	8.1	8.51	10.9	45	24	0	NA	North
23GLG17-3	GLG17	3	7.9	98.20417	28.21556	2345	20230427	sample	1	dl	yes	3.5	40	0.812	8.1	8.51	10.9	45	24	0	NA	North
23GLG18-1	GLG18	1	7.2	98.235	28.20056	2420	20230427	sample	1	dl	no	25	180	0.5	10.2	8.74	10.7	138	24	0	NA	North
23GLG18-2	GLG18	2	6.9	98.235	28.20056	2420	20230427	sample	1	dl	no	25	180	0.5	10.2	8.74	10.7	138	24	0	NA	North
23GLG18-3	GLG18	3	6.8	98.235	28.20056	2420	20230427	sample	1	dl	no	25	180	0.5	10.2	8.74	10.7	138	24	0	NA	North
23GLG19-1	GLG19	1	6.4	98.23583	28.20222	2319	20230427	sample	1	dl	yes	1.5	40	0.812	9.1	8.51	10.9	84	24	0	1	North
23GLG19-2	GLG19	2	6.7	98.23583	28.20222	2319	20230427	sample	1	dl	yes	1.5	40	0.812	9.1	8.51	10.9	84	24	0	1	North
23GLG19-3	GLG19	3	6.2	98.23583	28.20222	2319	20230427	sample	1	dl	yes	1.5	40	0.812	9.1	8.51	10.9	84	24	0	1	North
23GLG20-1	GLG20	1	7.2	98.295	28.14667	2062	20230427	sample	1	dl	yes	5	NA	0.698	9.7	8.52	11.4	41	24	0	3.9	North
23GLG20-2	GLG20	2	7.2	98.295	28.14667	2062	20230427	sample	1	dl	yes	5	NA	0.698	9.7	8.52	11.4	41	24	0	3.9	North
23GLG20-3	GLG20	3	7	98.295	28.14667	2062	20230427	sample	1	dl	yes	5	NA	0.698	9.7	8.52	11.4	41	24	0	3.9	North
23GLG21-1	GLG21	1	7.7	98.30917	28.12667	2022	20230427	sample	1	dl	yes	4	60	0.687	11	8.38	11.2	32	24	0	1.8	North
23GLG21-2	GLG21	2	7.7	98.30917	28.12667	2022	20230427	sample	1	dl	yes	4	60	0.687	11	8.38	11.2	32	24	0	1.8	North
23GLG21-3	GLG21	3	7.6	98.30917	28.12667	2022	20230427	sample	1	dl	yes	4	60	0.687	11	8.38	11.2	32	24	0	1.8	North
23GLG22-1	GLG22	1	6.3	98.31972	28.12556	1998	20230427	sample	1	dl	yes	15	80	1.188	13.3	8.64	10.7	94	24	0	4.8	North
23GLG22-2	GLG22	2	7	98.31972	28.12556	1998	20230427	sample	1	dl	yes	15	80	1.188	13.3	8.64	10.7	94	24	0	4.8	North
23GLG22-3	GLG22	3	7.4	98.31972	28.12556	1998	20230427	sample	1	dl	yes	15	80	1.188	13.3	8.64	10.7	94	24	0	4.8	North
23GLG23-1	GLG23	1	7.5	98.32583	28.07639	1936	20230427	sample	1	dl	yes	7	80	0.733	12.2	8.32	11.6	29	24	0	1.1	North
23GLG23-2	GLG23	2	7.3	98.32583	28.07639	1936	20230427	sample	1	dl	yes	7	80	0.733	12.2	8.32	11.6	29	24	0	1.1	North
23GLG23-3	GLG23	3	6.9	98.32583	28.07639	1936	20230427	sample	1	dl	yes	7	80	0.733	12.2	8.32	11.6	29	24	0	1.1	North
23GLG24-1	GLG24	1	6.7	98.32167	28.01333	1700	20230427	sample	1	dl	yes	11	NA	0.975	11.1	8.37	11	27	24	0	2.4	North
23GLG24-2	GLG24	2	7.6	98.32167	28.01333	1700	20230427	sample	1	dl	yes	11	NA	0.975	11.1	8.37	11	27	24	0	2.4	North
23GLG24-3	GLG24	3	7.4	98.32167	28.01333	1700	20230427	sample	1	dl	yes	11	NA	0.975	11.1	8.37	11	27	24	0	2.4	North
23GLG25-1	GLG25	1	7.5	98.34917	27.69944	1439	20230428	sample	1	dl	yes	25	160	1.603	11.3	8.44	11.9	43	0	19	2.7	North
23GLG25-2	GLG25	2	6.9	98.34917	27.69944	1439	20230428	sample	1	dl	yes	25	160	1.603	11.3	8.44	11.9	43	0	19	2.7	North
23GLG25-3	GLG25	3	7.1	98.34917	27.69944	1439	20230428	sample	1	dl	yes	25	160	1.603	11.3	8.44	11.9	43	0	19	2.7	North
23GLG26-1	GLG26	1	5.65	98.27056	27.6775	1201	20230428	sample	1	dl	no	30	NA	0.7	13	8.61	12.7	65	0	19	0	North
23GLG26-2	GLG26	2	6	98.27056	27.6775	1201	20230428	sample	1	dl	no	30	NA	0.7	13	8.61	12.7	65	0	19	0	North
23GLG26-3	GLG26	3	4.8	98.27056	27.6775	1201	20230428	sample	1	dl	no	30	NA	0.7	13	8.61	12.7	65	0	19	0	North
23GLG27-1	GLG27	1	7.4	98.275	27.68806	1264	20230428	sample	1	dl	yes	13	80	0.718	13.4	8.58	11.9	19	0	19	-0.8	North
23GLG27-2	GLG27	2	7.7	98.275	27.68806	1264	20230428	sample	1	dl	yes	13	80	0.718	13.4	8.58	11.9	19	0	19	-0.8	North
23GLG27-3	GLG27	3	6.8	98.275	27.68806	1264	20230428	sample	1	dl	yes	13	80	0.718	13.4	8.58	11.9	19	0	19	-0.8	North
23GLG28-1	GLG28	1	8	98.34583	27.7625	1370	20230428	sample	1	dl	yes	16	150	1.061	13	8.29	11.8	36	0	19	3.3	North
23GLG28-2	GLG28	2	7.5	98.34583	27.7625	1370	20230428	sample	1	dl	yes	16	150	1.061	12.1	8.29	11.8	36	0	19	3.3	North
23GLG28-3	GLG28	3	7.5	98.34583	27.7625	1370	20230428	sample	1	dl	yes	16	150	1.061	12.9	8.29	11.8	36	0	19	3.3	North
23GLG29-1	GLG29	1	6.8	98.34	27.86639	1562	20230428	sample	1	dl	yes	0.7	20	0.45	14.6	8.25	10.7	143	0	19	NA	North
23GLG29-2	GLG29	2	6.8	98.34	27.86639	1562	20230428	sample	1	dl	yes	0.7	20	0.45	14.6	8.25	10.7	143	0	19	NA	North
23GLG29-3	GLG29	3	6.8	98.34	27.86639	1562	20230428	sample	1	dl	yes	0.7	20	0.45	14.6	8.25	10.7	143	0	19	NA	North
23GLG30-1	GLG30	1	2.6	98.84417	26.85972	1414	20230430	sample	1	nu	yes	10	90	1.352	12.1	8.45	11.1	42	1.9	2.8	NA	Middle
23GLG30-2	GLG30	2	2.8	98.84417	26.85972	1414	20230430	sample	1	nu	yes	10	90	1.352	12.1	8.45	11.1	42	1.9	2.8	NA	Middle
23GLG30-3	GLG30	3	3	98.84417	26.85972	1414	20230430	sample	1	nu	yes	10	90	1.352	12.1	8.45	11.1	42	1.9	2.8	NA	Middle
23GLG31-1	GLG31	1	6.9	98.88306	26.78333	1204	20230430	sample	1	nu	yes	8	100	1.053	13.4	8.24	11.7	44	1.9	2.8	6.4	Middle
23GLG31-2	GLG31	2	6.7	98.88306	26.78333	1204	20230430	sample	1	nu	yes	8	100	1.053	13.4	8.24	11.7	44	1.9	2.8	6.4	Middle
23GLG31-3	GLG31	3	7.8	98.88306	26.78333	1204	20230430	sample	1	nu	yes	8	100	1.053	13.4	8.24	11.7	44	1.9	2.8	6.4	Middle
23GLG32-1	GLG32	1	6.9	98.88944	26.75049	1176	20230430	sample	1	nu	yes	3	40	0.779	14.9	8.14	11.4	39	1.9	2.8	5.6	Middle
23GLG32-2	GLG32	2	6.7	98.88944	26.75049	1176	20230430	sample	1	nu	yes	3	40	0.779	14.9	8.14	11.4	39	1.9	2.8	5.6	Middle
23GLG32-3	GLG32	3	7.5	98.88944	26.75049	1176	20230430	sample	1	nu	yes	3	40	0.779	14.9	8.14	11.4	39	1.9	2.8	5.6	Middle
23GLG33-1	GLG33	1	7	98.89056	26.71611	1171	20230430	sample	1	nu	yes	4	60	0.877	13.2	7.9	11.8	19	1.9	2.8	7	Middle
23GLG33-2	GLG33	2	7	98.89056	26.71611	1171	20230430	sample	1	nu	yes	4	60	0.877	13.2	7.9	11.8	19	1.9	2.8	7	Middle
23GLG33-3	GLG33	3	7.3	98.89056	26.71611	1171	20230430	sample	1	nu	yes	4	60	0.877	13.2	7.9	11.8	19	1.9	2.8	7	Middle
23GLG34-1	GLG34	1	7.1	98.89889	26.645	1164	20230430	sample	1	nu	yes	2	20	0.839	14.5	7.88	11.4	47	1.9	2.8	5	Middle
23GLG34-2	GLG34	2	7.2	98.89889	26.645	1164	20230430	sample	1	nu	yes	2	20	0.839	14.5	7.88	11.4	47	1.9	2.8	5	Middle
23GLG34-3	GLG34	3	6.9	98.89889	26.645	1164	20230430	sample	1	nu	yes	2	20	0.839	14.5	7.88	11.4	47	1.9	2.8	5	Middle
23GLG35-1	GLG35	1	7.3	98.89911	26.58003	1169	20230430	sample	1	nu	yes	6	120	0.811	15.6	8.07	11.4	23	1.9	2.8	5.7	Middle
23GLG35-2	GLG35	2	7.3	98.89911	26.58003	1169	20230430	sample	1	nu	yes	6	120	0.811	15.6	8.07	11.4	23	1.9	2.8	5.7	Middle
23GLG35-3	GLG35	3	8.1	98.89911	26.58003	1169	20230430	sample	1	nu	yes	6	120	0.811	15.6	8.07	11.4	23	1.9	2.8	5.7	Middle
23GLG36-1	GLG36	1	7.5	98.82306	26.36142	1788	20230430	sample	1	nu	yes	3	50	0.145	16.2	8.34	9.8	57	1.9	2.8	NA	Middle
23GLG36-2	GLG36	2	7.5	98.82306	26.36142	1788	20230430	sample	1	nu	yes	3	50	0.145	16.2	8.34	9.8	57	1.9	2.8	NA	Middle
23GLG36-3	GLG36	3	7.3	98.82306	26.36142	1788	20230430	sample	1	nu	yes	3	50	0.145	16.2	8.34	9.8	57	1.9	2.8	NA	Middle
23GLG37-1	GLG37	1	7.7	98.84444	25.74917	945	20230501	sample	1	nu	yes	6	100	0.301	17.5	8.48	11.1	101	1.9	0	11	Middle
23GLG37-2	GLG37	2	8.1	98.84444	25.74917	945	20230501	sample	1	nu	yes	6	100	0.301	17.5	8.48	11.1	101	1.9	0	11	Middle
23GLG37-3	GLG37	3	8.1	98.84444	25.74917	945	20230501	sample	1	nu	yes	6	100	0.301	17.5	8.48	11.1	101	1.9	0	11	Middle
23GLG38-1	GLG38	1	7.3	98.86278	25.54361	981	20230501	sample	1	nu	yes	3	30	0.384	18.7	8.3	10.6	107	1.9	0	6.2	Middle
23GLG38-2	GLG38	2	6.8	98.86278	25.54361	981	20230501	sample	1	nu	yes	3	30	0.384	18.7	8.3	10.6	107	1.9	0	6.2	Middle
23GLG38-3	GLG38	3	7	98.86278	25.54361	981	20230501	sample	1	nu	yes	3	30	0.384	18.7	8.3	10.6	107	1.9	0	6.2	Middle
23GLG39-1	GLG39	1	6.8	98.85972	25.50056	954	20230501	sample	1	nu	yes	5	50	0.75	18.6	8.37	10.5	107	1.9	0	6	Middle
23GLG39-2	GLG39	2	8.1	98.85972	25.50056	954	20230501	sample	1	nu	yes	5	50	0.75	18.6	8.37	10.5	107	1.9	0	6	Middle
23GLG39-3	GLG39	3	7.7	98.85972	25.50056	954	20230501	sample	1	nu	yes	5	50	0.75	18.6	8.37	10.5	107	1.9	0	6	Middle
23GLG40-1	GLG40	1	7.4	98.83667	25.36944	1018	20230501	sample	1	nu	yes	4	30	0.2	21.2	8.3	9.6	150	1.9	0	4.4	Middle
23GLG40-2	GLG40	2	7.7	98.83667	25.36944	1018	20230501	sample	1	nu	yes	4	30	0.2	21.2	8.3	9.6	150	1.9	0	4.4	Middle
23GLG40-3	GLG40	3	8.5	98.83667	25.36944	1018	20230501	sample	1	nu	yes	4	30	0.2	21.2	8.3	9.6	150	1.9	0	4.4	Middle
23GLG41-1	GLG41	1	7.6	98.80667	25.30667	1176	20230502	sample	1	nu	yes	5	80	0.422	17.8	8.5	10.5	110	0	4.5	2.2	Middle
23GLG41-2	GLG41	2	7.6	98.80667	25.30667	1176	20230502	sample	1	nu	yes	5	80	0.422	17.8	8.5	10.5	110	0	4.5	2.2	Middle
23GLG41-3	GLG41	3	7.8	98.80667	25.30667	1176	20230502	sample	1	nu	yes	5	80	0.422	17.8	8.5	10.5	110	0	4.5	2.2	Middle
23GLG42-1	GLG42	1	7.2	98.67361	25.03284	1282	20230504	sample	1	lc	no	25	150	0.3	20.5	8.89	11.7	182	0	0	NA	Middle
23GLG42-2	GLG42	2	7.1	98.67361	25.03284	1282	20230504	sample	1	lc	no	25	150	0.3	20.5	8.89	11.7	182	0	0	NA	Middle
23GLG42-3	GLG42	3	7.5	98.67361	25.03284	1282	20230504	sample	1	lc	no	25	150	0.3	20.5	8.89	11.7	182	0	0	NA	Middle
23GLG43-1	GLG43	1	5.6	98.47917	25.33417	1683	20230505	sample	1	lc	no	6	80	0.2	19.5	8.54	9.3	129	0	0	NA	Southwest
23GLG43-2	GLG43	2	5.7	98.47917	25.33417	1683	20230505	sample	1	lc	no	6	80	0.2	19.5	8.54	9.3	129	0	0	NA	Southwest
23GLG43-3	GLG43	3	4.6	98.47917	25.33417	1683	20230505	sample	1	lc	no	6	80	0.2	19.5	8.54	9.3	129	0	0	NA	Southwest
23GLG44-1	GLG44	1	2.5	98.36669	25.10422	1482	20230506	sample	1	dy	yes	3.5	60	0.206	21.3	8.58	9.5	83	0	0	NA	Southwest
23GLG44-2	GLG44	2	1.9	98.36669	25.10422	1482	20230506	sample	1	dy	yes	3.5	60	0.206	21.3	8.58	9.5	83	0	0	NA	Southwest
23GLG44-3	GLG44	3	4.6	98.36669	25.10422	1482	20230506	sample	1	dy	yes	3.5	60	0.206	21.3	8.58	9.5	83	0	0	NA	Southwest
23GLG45-1	GLG45	1	3.1	98.29067	25.29553	1730	20230506	sample	1	dy	yes	5	40	0.35	23.5	8.64	9.6	51	0	0	NA	Southwest
23GLG45-2	GLG45	2	3.5	98.29067	25.29553	1730	20230506	sample	1	dy	yes	5	40	0.35	23.5	8.64	9.6	51	0	0	NA	Southwest
23GLG45-3	GLG45	3	3.1	98.29067	25.29553	1730	20230506	sample	1	dy	yes	5	40	0.35	23.5	8.64	9.6	51	0	0	NA	Southwest
23GLG46-1	GLG46	1	2.5	98.22678	25.42025	1886	20230508	sample	1	dy	no	200	NA	0	20.5	8.37	8.9	30	0	0	NA	Southwest
23GLG46-2	GLG46	2	2.1	98.22678	25.42025	1886	20230508	sample	1	dy	no	200	NA	0	20.5	8.37	8.9	30	0	0	NA	Southwest
23GLG46-3	GLG46	3	1.9	98.22678	25.42025	1886	20230508	sample	1	dy	no	200	NA	0	20.5	8.37	8.9	30	0	0	NA	Southwest
23GLG47-1	GLG47	1	6.1	98.17664	25.11187	1030	20230509	sample	1	dy	no	60	500	0	19.3	8.76	9.2	81	0	0	NA	Southwest
23GLG47-2	GLG47	2	6.2	98.17664	25.11187	1030	20230509	sample	1	dy	no	60	500	0	19.3	8.76	9.2	81	0	0	NA	Southwest
23GLG47-3	GLG47	3	7	98.17664	25.11187	1030	20230509	sample	1	dy	no	60	500	0	19.3	8.76	9.2	81	0	0	NA	Southwest
23GLG48-1	GLG48	1	2.6	98.09361	25.27361	1554	20230509	sample	1	dy	yes	10	50	0.214	17.9	8.38	9.9	39	0	0	3.9	Southwest
23GLG48-2	GLG48	2	2.8	98.09361	25.27361	1554	20230509	sample	1	dy	yes	10	50	0.214	17.9	8.38	9.9	39	0	0	3.9	Southwest
23GLG48-3	GLG48	3	2.4	98.09361	25.27361	1554	20230509	sample	1	dy	yes	10	50	0.214	17.9	8.38	9.9	39	0	0	3.9	Southwest
23GLG49-1	GLG49	1	6.7	98.02075	25.23647	1947	20230509	sample	1	dy	yes	8	80	0.1	16.7	8.64	10.2	20	0	0	2.1	Southwest
23GLG49-2	GLG49	2	6.2	98.02075	25.23647	1947	20230509	sample	1	dy	yes	8	80	0.1	16.7	8.64	10.2	20	0	0	2.1	Southwest
23GLG49-3	GLG49	3	5.8	98.02075	25.23647	1947	20230509	sample	1	dy	yes	8	80	0.1	16.7	8.64	10.2	20	0	0	2.1	Southwest
23GLG50-1	GLG50	1	3.8	98.12822	25.15589	1045	20230510	sample	1	dy	yes	30	50	0.667	19.2	8.61	11.6	82	0	0	NA	Southwest
23GLG50-2	GLG50	2	3.4	98.12822	25.15589	1045	20230510	sample	1	dy	yes	30	50	0.667	19.2	8.61	11.6	82	0	0	NA	Southwest
23GLG50-3	GLG50	3	5.3	98.12822	25.15589	1045	20230510	sample	1	dy	yes	30	50	0.667	19.2	8.61	11.6	82	0	0	NA	Southwest
23GLG51-1	GLG51	1	7.3	97.978583	25.15494	1744	20230510	sample	1	dy	yes	10	80	0.272	20.7	8.17	9.3	36	0	0	6.5	Southwest
23GLG51-2	GLG51	2	4.7	97.978583	25.15494	1744	20230510	sample	1	dy	yes	10	80	0.272	20.7	8.17	9.3	36	0	0	6.5	Southwest
23GLG51-3	GLG51	3	5.7	97.978583	25.15494	1744	20230510	sample	1	dy	yes	10	80	0.272	20.7	8.17	9.3	36	0	0	6.5	Southwest
23GLG52-1	GLG52	1	6.9	97.92778	25.15556	1764	20230511	sample	1	dy	yes	3	50	0.525	14.6	8.27	10.1	26	0	0	2	Southwest
23GLG52-2	GLG52	2	8.4	97.92778	25.15556	1764	20230511	sample	1	dy	yes	3	50	0.525	14.6	8.27	10.1	26	0	0	2	Southwest
23GLG52-3	GLG52	3	6.9	97.92778	25.15556	1764	20230511	sample	1	dy	yes	3	50	0.525	14.6	8.27	10.1	26	0	0	2	Southwest
23GLG53-1	GLG53	1	5.6	97.8625	25.10139	1457	20230511	sample	1	dy	yes	30	150	0	19.8	8.35	8.7	59	0	0	NA	Southwest
23GLG53-2	GLG53	2	5.8	97.8625	25.10139	1457	20230511	sample	1	dy	yes	30	150	0	19.8	8.35	8.7	59	0	0	NA	Southwest
23GLG53-3	GLG53	3	6.8	97.8625	25.10139	1457	20230511	sample	1	dy	yes	30	150	0	19.8	8.35	8.7	59	0	0	NA	Southwest
23GLG54-1	GLG54	1	9.2	97.75806	25.08889	715	20230511	sample	1	dy	yes	20	100	0.37	22.4	8.51	11.3	53	0	0	NA	Southwest
23GLG54-2	GLG54	2	5.4	97.75806	25.08889	715	20230511	sample	1	dy	yes	20	100	0.37	22.4	8.51	11.3	53	0	0	NA	Southwest
23GLG54-3	GLG54	3	6.2	97.75806	25.08889	715	20230511	sample	1	dy	yes	20	100	0.37	22.4	8.51	11.3	53	0	0	NA	Southwest
23GLG55-1	GLG55	1	7.7	97.82444	24.97111	1259	20230512	sample	1	dy	yes	6	90	0	18.5	8.4	9.8	56	0	0	NA	Southwest
23GLG55-2	GLG55	2	6.9	97.82444	24.97111	1259	20230512	sample	1	dy	yes	6	90	0	18.5	8.4	9.8	56	0	0	NA	Southwest
23GLG55-3	GLG55	3	7.2	97.82444	24.97111	1259	20230512	sample	1	dy	yes	6	90	0	18.5	8.4	9.8	56	0	0	NA	Southwest
23GLG56-1	GLG56	1	7.8	97.94083	24.98583	1704	20230512	sample	1	dy	yes	1.5	15	0.18	21.9	8.58	9.4	84	0	0	NA	Southwest
23GLG56-2	GLG56	2	6.6	97.94083	24.98583	1704	20230512	sample	1	dy	yes	1.5	15	0.18	21.9	8.58	9.4	84	0	0	NA	Southwest
23GLG56-3	GLG56	3	6.4	97.94083	24.98583	1704	20230512	sample	1	dy	yes	1.5	15	0.18	21.9	8.58	9.4	84	0	0	NA	Southwest
23GLG57-1	GLG57	1	7.4	97.92944	24.82861	1074	20230512	sample	1	dy	yes	4.5	50	0.31	21.5	8.54	10.3	55	0	0	NA	Southwest
23GLG57-2	GLG57	2	7	97.92944	24.82861	1074	20230512	sample	1	dy	yes	4.5	50	0.31	21.5	8.54	10.3	55	0	0	NA	Southwest
23GLG57-3	GLG57	3	7.2	97.92944	24.82861	1074	20230512	sample	1	dy	yes	4.5	50	0.31	21.5	8.54	10.3	55	0	0	NA	Southwest
